"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"186",4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"187",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"188",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"189",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
"190",5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"191",5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"192",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"193",5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"194",5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"195",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"196",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"197",4,3,4,5,4,3,3,4,5,4,4,4,4,4,4,5,4,5,4,4,3,5,3
"198",5,5,5,4,5,5,4,5,5,4,5,4,5,4,4,4,4,4,4,5,5,5,5
"199",5,5,5,5,5,5,4,3,4,5,4,4,5,5,5,4,4,4,5,4,4,5,5
"200",5,5,5,5,4,5,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5
"201",4,5,5,5,5,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5
"202",5,4,4,4,4,5,4,5,5,4,5,5,5,5,4,5,5,5,3,4,4,4,5
"203",5,5,5,5,4,4,4,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5
"204",5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5
"205",5,5,5,4,4,4,3,3,4,3,3,3,3,3,3,5,4,4,4,4,4,5,5
"206",5,4,4,4,5,5,3,2,3,3,3,4,5,5,4,4,4,4,3,4,3,4,4
"207",5,5,5,4,4,4,4,3,4,4,5,5,5,4,5,4,4,4,4,3,4,4,4
"208",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"209",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"210",5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5
"211",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"212",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"213",5,5,5,4,4,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"214",5,5,5,5,5,5,4,3,3,5,5,5,5,4,4,4,5,5,5,5,5,5,5
"215",5,5,4,4,5,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5
"216",5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"217",5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"218",5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5
"219",5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"220",4,4,4,5,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3,4,4
"221",5,4,5,5,4,4,3,3,4,4,5,5,5,5,4,4,5,5,5,5,5,4,5
"222",5,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,4,3,5,5,5,5
"223",5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"224",5,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5
"225",5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"226",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5
"227",5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5
"228",5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"229",5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
"230",5,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"231",5,2,5,5,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"232",5,4,4,4,4,4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4
"233",5,4,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,4,4,4,4,4,4
"234",5,4,5,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"235",5,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4
